comparison,mean_diff,p_val_tukey,95%_ci_low,95%_ci_up,dof_between,dof_within,F_1way_anova,p_1way_anova
"('layer21', 'layer26')",0.3529782,0.0,0.33781797,0.36813843,18,33195,5044.077351770932,0.0
"('layer21', 'layer27')",0.27940997,0.0,0.2598382,0.29898176,18,33195,5044.077351770932,0.0
"('layer21', 'layer28')",0.34390536,0.0,0.32433358,0.36347714,18,33195,5044.077351770932,0.0
"('layer21', 'layer29')",0.35587627,0.0,0.3363045,0.37544805,18,33195,5044.077351770932,0.0
"('layer21', 'layer30')",0.38192058,0.0,0.3623488,0.40149236,18,33195,5044.077351770932,0.0
"('layer21', 'layer31')",0.4105692,0.0,0.3909974,0.43014097,18,33195,5044.077351770932,0.0
"('layer21', 'layer32')",0.41012812,0.0,0.39055634,0.4296999,18,33195,5044.077351770932,0.0
"('layer21', 'layer33a')",0.43684423,0.0,0.41727245,0.456416,18,33195,5044.077351770932,0.0
"('layer21', 'layer34a')",0.4157771,0.0,0.40061685,0.43093732,18,33195,5044.077351770932,0.0
"('layer21', 'layer35a')",0.44352534,0.0,0.43114504,0.45590565,18,33195,5044.077351770932,0.0
"('layer21', 'layer36a')",0.3795061,0.0,0.36712784,0.3918844,18,33195,5044.077351770932,0.0
"('layer21', 'layer37')",0.35236317,0.0,0.31627458,0.38845176,18,33195,5044.077351770932,0.0
"('layer22', 'layer19')",-0.092276335,0.0,-0.10465462,-0.07989805,18,33195,5044.077351770932,0.0
"('layer22', 'layer20')",-0.08299285,0.0,-0.095371135,-0.07061457,18,33195,5044.077351770932,0.0
"('layer22', 'layer21')",0.062230468,0.0,0.049852185,0.07460875,18,33195,5044.077351770932,0.0
"('layer22', 'layer22')",0.0,1.0,-0.012378283,0.012378283,18,33195,5044.077351770932,0.0
"('layer22', 'layer23')",0.08823252,0.0,0.075854234,0.1006108,18,33195,5044.077351770932,0.0
"('layer22', 'layer24')",0.18624505,0.0,0.17108482,0.20140529,18,33195,5044.077351770932,0.0
"('layer22', 'layer25')",0.36412755,0.0,0.3489673,0.37928778,18,33195,5044.077351770932,0.0
"('layer22', 'layer26')",0.41520867,0.0,0.40004843,0.4303689,18,33195,5044.077351770932,0.0
"('layer22', 'layer27')",0.34164044,0.0,0.32206866,0.36121222,18,33195,5044.077351770932,0.0
"('layer22', 'layer28')",0.40613583,0.0,0.38656405,0.4257076,18,33195,5044.077351770932,0.0
"('layer22', 'layer29')",0.41810673,0.0,0.39853495,0.43767852,18,33195,5044.077351770932,0.0
"('layer22', 'layer30')",0.44415104,0.0,0.42457926,0.46372283,18,33195,5044.077351770932,0.0
"('layer22', 'layer31')",0.47279966,0.0,0.45322788,0.49237144,18,33195,5044.077351770932,0.0
"('layer22', 'layer32')",0.47235858,0.0,0.4527868,0.49193037,18,33195,5044.077351770932,0.0
"('layer22', 'layer33a')",0.4990747,0.0,0.47950292,0.5186465,18,33195,5044.077351770932,0.0
"('layer22', 'layer34a')",0.47800756,0.0,0.46284732,0.4931678,18,33195,5044.077351770932,0.0
"('layer22', 'layer35a')",0.5057558,0.0,0.49337548,0.5181361,18,33195,5044.077351770932,0.0
"('layer22', 'layer36a')",0.44173658,0.0,0.4293583,0.45411485,18,33195,5044.077351770932,0.0
"('layer22', 'layer37')",0.41459364,0.0,0.37850505,0.45068222,18,33195,5044.077351770932,0.0
"('layer23', 'layer19')",-0.18050885,0.0,-0.19288714,-0.16813056,18,33195,5044.077351770932,0.0
"('layer23', 'layer20')",-0.17122537,0.0,-0.18360366,-0.15884708,18,33195,5044.077351770932,0.0
"('layer23', 'layer21')",-0.02600205,8.562817e-12,-0.038380332,-0.013623767,18,33195,5044.077351770932,0.0
"('layer23', 'layer22')",-0.08823252,0.0,-0.1006108,-0.075854234,18,33195,5044.077351770932,0.0
"('layer23', 'layer23')",0.0,1.0,-0.012378283,0.012378283,18,33195,5044.077351770932,0.0
"('layer23', 'layer24')",0.09801254,0.0,0.0828523,0.11317278,18,33195,5044.077351770932,0.0
"('layer23', 'layer25')",0.27589503,0.0,0.2607348,0.29105526,18,33195,5044.077351770932,0.0
